November 24, 2017
2017-11-27 11:39:07,216.61,14.84,23.65
2017-11-27 12:09:13,230.58,31.1,23.581
2017-11-27 12:39:14,61.04,32.73,24.376
2017-11-27 13:09:09,71.17,40.35,23.506
2017-11-27 13:39:13,159.45,37.9,24.4
2017-11-27 14:09:16,110.02,36.42,22.599
2017-11-27 14:39:14,233.1,17.73,23.499
2017-11-27 15:09:21,133.93,18.94,22.765
2017-11-27 15:39:16,71.28,30.54,25.133
2017-11-27 16:09:15,133.04,39.14,23.866
2017-11-27 16:39:15,271.95,36.45,21.485
2017-11-27 17:09:20,161.87,34.37,22.027
2017-11-27 17:39:18,126.44,41.02,24.094
2017-11-27 18:09:21,216.14,32.64,21.493
2017-11-27 22:44:53,76.82,37.47,22.806
2017-11-27 23:14:52,117.0,38.62,22.065
2017-11-27 23:44:57,187.59,38.23,22.844

November 28, 2017
2017-11-28 00:14:49,433.25,34.2,23.148
2017-11-28 00:44:52,65.72,38.9,22.209
2017-11-28 01:14:54,156.17,39.5,22.715
2017-11-28 01:44:53,375.37,30.32,22.534
2017-11-28 02:14:57,100.57,29.07,23.423
2017-11-28 02:44:58,170.12,40.19,21.445
2017-11-28 03:15:04,199.9,39.19,22.649
2017-11-28 03:44:55,358.82,40.67,22.093
2017-11-28 04:14:57,303.28,39.37,21.497
2017-11-28 04:44:55,436.03,38.2,23.105
2017-11-28 05:14:59,146.7,40.03,23.102
2017-11-28 05:45:03,155.5,31.94,24.054
2017-11-28 06:15:01,175.02,22.7,22.538
2017-11-28 06:45:07,180.05,25.01,24.234
2017-11-28 07:15:01,283.99,39.38,22.957
2017-11-28 07:45:05,133.68,37.15,24.568
2017-11-28 08:15:11,167.49,35.19,23.404
2017-11-28 08:45:06,214.39,39.21,22.789
2017-11-28 09:15:06,245.62,35.63,24.185
2017-11-28 09:45:15,118.84,27.03,22.009
2017-11-28 10:15:06,229.71,39.18,23.404
2017-11-28 10:45:11,329.79,39.74,23.483
2017-11-28 11:15:06,168.74,19.89,23.953
2017-11-28 11:45:11,210.11,38.19,23.039
2017-11-28 12:15:08,280.91,30.65,22.411
2017-11-28 12:45:11,198.47,39.17,24.159
2017-11-28 13:15:14,194.87,31.68,25.076
2017-11-28 13:45:10,223.57,36.63,22.23
2017-11-28 14:15:13,114.69,23.57,24.582
2017-11-28 14:45:13,108.85,36.05,22.321
2017-11-28 15:15:15,254.22,38.24,25.159
2017-11-28 15:45:13,209.68,18.78,22.47
2017-11-28 16:15:18,284.68,27.12,25.088
2017-11-28 16:45:18,168.42,24.9,22.36
2017-11-28 20:40:54,225.25,31.05,22.349
2017-11-28 21:10:52,279.65,38.47,24.106
2017-11-28 21:40:56,33.59,39.1,24.552
2017-11-28 22:10:54,226.12,37.65,25.949
2017-11-28 22:40:51,244.61,35.97,22.304
2017-11-28 23:10:54,145.94,38.02,24.408
2017-11-28 23:40:56,218.56,27.24,23.871

November 29, 2017
2017-11-29 00:10:57,246.8,25.71,24.527
2017-11-29 00:40:54,241.03,36.19,22.286
2017-11-29 01:10:56,60.93,39.37,24.593
2017-11-29 01:40:56,98.63,36.52,22.188
2017-11-29 02:10:58,296.64,39.73,21.632
2017-11-29 02:41:01,287.04,29.71,22.491
2017-11-29 03:10:57,301.87,40.98,23.386
2017-11-29 03:41:00,254.86,37.5,22.867
2017-11-29 04:10:58,132.27,39.95,21.828
2017-11-29 04:40:59,120.48,38.7,23.783
2017-11-29 05:11:03,197.62,39.53,22.626
2017-11-29 05:40:58,395.94,40.42,24.081
